Aluminum,24.14
Carbon,15.39
Oxygen,14.5
Iron,14.44
Silicon,6.31
Copper,6.08
Cobalt,5.11
Hydrogen,4.28
Chrome,3.83
Nickel,2.1
Lithium,0.67
Zinc,0.54
Magnesium,0.51
Tin,0.51
Calcium,0.34
Sulfur,0.34
Potassium,0.25
Manganese,0.23
Titanium,0.23
Phosphorus,0.03
Lead,0.03
Vanadium,0.03
Bismuth,0.02
Molybedenum,0.02
Tantalum,0.02
Tungsten,0.02
Aresenic,0.01
Gold,0.01
Chlorine,0.01
Gallium,0.01
Others,0.53
